date,open,high,low,close,volume
2020-02-18,154.1,159.0,152.85,156.62,28230513.0
2020-02-19,165.0,165.1,152.89,153.2,41816783.0
2020-02-20,156.5,165.0,153.0,160.0,51844020.0
2020-02-21,157.8,162.5,155.22,159.9,33805137.0
2020-02-24,157.0,159.85,152.48,154.41,36523081.0
2020-02-25,149.74,165.5,148.84,161.85,51602630.0
2020-02-26,158.7,160.85,150.7,152.86,33827986.0
2020-02-27,155.1,156.66,148.8,149.48,33200245.0
2020-02-28,139.99,145.0,135.51,135.67,50844719.0
2020-03-02,138.8,141.95,134.95,139.99,31815002.0
2020-03-03,146.0,149.69,143.9,145.78,29691061.0
2020-03-04,143.99,145.88,139.78,143.7,20594614.0
2020-03-05,146.54,147.83,142.0,145.22,22463328.0
2020-03-06,142.01,147.3,141.5,143.52,15980869.0
2020-03-09,138.99,140.9,133.0,133.45,29425285.0
2020-03-10,133.61,141.69,133.01,140.53,29274470.0
2020-03-11,143.0,148.58,138.8,140.78,33923207.0
2020-03-12,136.2,136.77,131.32,134.2,33385759.0
2020-03-13,126.1,133.8,126.01,132.1,27455284.0
2020-03-16,128.0,128.88,118.89,119.06,49048485.0
2020-03-17,121.0,122.93,111.25,117.95,39220328.0
2020-03-18,118.9,123.5,116.0,117.35,31338376.0
2020-03-19,119.0,119.5,111.69,115.04,33156307.0
2020-03-20,118.0,119.7,113.22,115.86,22514220.0
2020-03-23,110.8,111.57,105.01,107.48,30761809.0
2020-03-24,110.6,112.88,107.0,111.57,29116996.0
2020-03-25,116.2,122.18,116.0,121.0,38592846.0
2020-03-26,119.01,122.35,118.3,119.63,19437090.0
2020-03-27,122.21,123.33,117.36,118.71,17499077.0
2020-03-30,116.0,120.64,110.7,119.31,26165539.0
2020-03-31,120.27,123.13,117.86,120.39,19485192.0
2020-04-01,123.1,125.56,119.08,120.4,29895088.0
2020-04-02,117.5,123.6,116.71,123.6,20958836.0
2020-04-03,124.65,125.0,119.8,121.0,18220415.0
2020-04-07,123.6,126.09,123.02,124.7,18372889.0
2020-04-08,123.9,125.49,122.6,123.0,11946973.0
2020-04-09,123.98,124.48,119.81,120.21,16052778.0
2020-04-10,121.15,123.07,117.93,118.46,14569554.0
2020-04-13,114.9,116.99,113.08,114.69,12458136.0
2020-04-14,118.0,126.16,117.5,126.16,38893873.0
2020-04-15,129.8,131.89,127.23,128.0,32564492.0
2020-04-16,128.27,133.71,126.82,132.95,21638110.0
2020-04-17,136.08,140.58,135.1,136.95,29252182.0
